Symbol
3IN.L
7DIG.L
888.L
88E.L
AAF.L
AAIF.L
AAL.L
AAS.L
AAU.L
AAZ.L
ABC.L
ABD.L
ABDP.L
ABDX.L
ABF.L
ACC.L
ACP.L
ACRL.L
ACSO.L
ADIG.L
ADM.L
ADME.L
ADT.L
ADV.L
AEG.L
AEO.L
AEP.L
AET.L
AEWU.L
AEXG.L
AFC.L
AFHP.L
AFM.L
AFN.L
AFS.L
AFX.L
AGFX.L
AGK.L
AGL.L
AGM.L
AGR.L
AGT.L
AGTA.L
AGY.L
AHT.L
AIEA.L
AJB.L
AJOT.L
ALBA.L
ALFA.L
ALM.L
ALS.L
ALT.L
ALU.L
AMC.L
AMGO.L
AML.L
AMO.L
AMS.L
AMYT.L
ANCR.L
ANG.L
ANGS.L
ANIC.L
ANII.L
ANP.L
ANTO.L
ANX.L
AO.L
APAX.L
APH.L
APP.L
APTD.L
AQX.L
ARBB.L
ARC.L
ARCM.L
ARDN.L
ARE.L
ARG.L
ARK.L
ARR.L
ARS.L
ARW.L
ASC.L
ASCL.L
ASEI.L
ASHM.L
ASIT.L
ASL.L
ASLI.L
ASLR.L
AST.L
ASY.L
ATM.L
ATQT.L
ATR.L
ATS.L
ATST.L
ATT.L
ATYM.L
AUG.L
AUGM.L
AUK.L
AURA.L
AUTG.L
AUTO.L
AV.L
AVCT.L
AVG.L
AVO.L
AVON.L
AVST.L
AVV.L
AXS.L
AZN.L
B90.L
BA.L
BAB.L
BAG.L
BAKK.L
BAR.L
BARC.L
BARK.L
BASC.L
BATS.L
BBB.L
BBGI.L
BBH.L
BBOX.L
BBSN.L
BBY.L
BCI.L
BCN.L
BCPT.L
BDEV.L
BEG.L
BEM.L
BEZ.L
BGCG.L
BGEO.L
BGEU.L
BGFD.L
BGO.L
BGS.L
BGSC.L
BGUK.L
BHGG.L
BHMG.L
BHP.L
BIDS.L
BIFF.L
BILB.L
BILN.L
BIOG.L
BIOM.L
BIRD.L
BKG.L
BKS.L
BLND.L
BLOE.L
BLTG.L
BLU.L
BLV.L
BLVN.L
BME.L
BMK.L
BMN.L
BMY.L
BNKR.L
BNZL.L
BOD.L
BOIL.L
BOKU.L
BONH.L
BOO.L
BOOM.L
BOOT.L
BOR.L
BOTB.L
BOWL.L
BOY.L
BP.L
BPC.L
BPET.L
BPM.L
BRBY.L
BRCK.L
BRD.L
BREE.L
BREI.L
BRFI.L
BRGE.L
BRH.L
BRK.L
BRLA.L
BRNA.L
BRSC.L
BRSD.L
BRW.L
BRWM.L
BSIF.L
BTA.L
BUR.L
BUT.L
BVC.L
BVIC.L
BVXP.L
BWNG.L
BWY.L
BYG.L
BYIT.L
BYOT.L
BZT.L
C4XD.L
CAL.L
CALL.L
CAM.L
CAMB.L
CAML.L
CAPC.L
CARD.L
CARR.L
CASP.L
CBG.L
CBOX.L
CBP.L
CCC.L
CCH.L
CCJI.L
CCL.L
CCPG.L
CCR.L
CCT.L
CER.L
CEY.L
CGEO.L
CGH.L
CGNR.L
CGT.L
CHAR.L
CHG.L
CHH.L
CHRT.L
CHRY.L
CIC.L
CIHL.L
CINE.L
CIP.L
CIR.L
CKN.L
CKT.L
CLCO.L
CLDN.L
CLG.L
CLI.L
CLIG.L
CLIN.L
CLON.L
CLX.L
CMB.L
CMCL.L
CMCX.L
CMET.L
CMH.L
CMHY.L
CNA.L
CNC.L
CNE.L
CNG.L
CNIC.L
CNKS.L
CNR.L
CNS.L
COA.L
COG.L
COM.L
CORA.L
CORO.L
COST.L
CPC.L
CPG.L
CPI.L
CPP.L
CPX.L
CRC.L
CRCL.L
CRDA.L
CREI.L
CREO.L
CRH.L
CRPR.L
CRS.L
CRST.L
CRU.L
CRV.L
CRW.L
CSH.L
CSN.L
CSP.L
CSSG.L
CTEA.L
CTEC.L
CTG.L
CTH.L
CTY.L
CVSG.L
CWK.L
CWR.L
CYAN.L
Code.L
D4T4.L
DATA.L
DBOX.L
DC.L
DCC.L
DCTA.L
DDDD.L
DEC.L
DELT.L
DEMG.L
DEST.L
DFS.L
DGE.L
DGN.L
DIA.L
DIG.L
DIGS.L
DIS.L
DIVI.L
DKL.L
DLAR.L
DLG.L
DLN.L
DMTR.L
DNL.L
DNLM.L
DOCS.L
DOM.L
DOTD.L
DPH.L
DPLM.L
DPP.L
DRUM.L
DRV.L
DRX.L
DSCV.L
DSG.L
DTY.L
DUKE.L
DVO.L
DVRG.L
DWF.L
DWHA.L
DWHT.L
DX.L
DXRX.L
EAAS.L
EAH.L
EAT.L
EBOX.L
EBQ.L
ECHO.L
ECK.L
ECM.L
ECO.L
ECR.L
ECSC.L
EDEN.L
EDIN.L
EDL.L
